ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,          U-U1,       S-Mises
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",            39,   5.87785E-03,   8.09017E-03,            0.,NA,NA,"",  10.00000E-03,   867.362E-21,            0.,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",             5,   7.07107E-03,   7.07107E-03,            0.,NA,NA,"",  10.00000E-03,            0.,            0.,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           203,   5.87785E-03,   8.09017E-03,   12.5000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   12.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           169,   7.07107E-03,   7.07107E-03,   12.5000E-03,NA,NA,"",  10.00000E-03,            0.,   12.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           333,   7.07107E-03,   7.07107E-03,   25.0000E-03,NA,NA,"",  10.00000E-03,            0.,   25.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           367,   5.87785E-03,   8.09017E-03,   25.0000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   25.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           531,   5.87785E-03,   8.09017E-03,   37.5000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   37.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           497,   7.07107E-03,   7.07107E-03,   37.5000E-03,NA,NA,"",  10.00000E-03,            0.,   37.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           695,   5.87785E-03,   8.09017E-03,   50.0000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   50.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           661,   7.07107E-03,   7.07107E-03,   50.0000E-03,NA,NA,"",  10.00000E-03,            0.,   50.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           825,   7.07107E-03,   7.07107E-03,      62.5E-03,NA,NA,"",  10.00000E-03,            0.,      62.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           859,   5.87785E-03,   8.09017E-03,      62.5E-03,NA,NA,"",  10.00000E-03,   867.362E-21,      62.5E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1023,   5.87785E-03,   8.09017E-03,   75.0000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   75.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           989,   7.07107E-03,   7.07107E-03,   75.0000E-03,NA,NA,"",  10.00000E-03,            0.,   75.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1187,   5.87785E-03,   8.09017E-03,   87.5000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   87.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1153,   7.07107E-03,   7.07107E-03,   87.5000E-03,NA,NA,"",  10.00000E-03,            0.,   87.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1351,   5.87785E-03,   8.09017E-03,   100.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   100.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1317,   7.07107E-03,   7.07107E-03,   100.000E-03,NA,NA,"",  10.00000E-03,            0.,   100.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1515,   5.87785E-03,   8.09017E-03,   112.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   112.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1481,   7.07107E-03,   7.07107E-03,   112.500E-03,NA,NA,"",  10.00000E-03,            0.,   112.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1645,   7.07107E-03,   7.07107E-03,      125.E-03,NA,NA,"",  10.00000E-03,            0.,      125.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1679,   5.87785E-03,   8.09017E-03,      125.E-03,NA,NA,"",  10.00000E-03,   867.362E-21,      125.E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1843,   5.87785E-03,   8.09017E-03,   137.500E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   137.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1809,   7.07107E-03,   7.07107E-03,   137.500E-03,NA,NA,"",  10.00000E-03,            0.,   137.500E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          2007,   5.87785E-03,   8.09017E-03,   150.000E-03,NA,NA,"",  10.00000E-03,   867.362E-21,   150.000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",          1973,   7.07107E-03,   7.07107E-03,   150.000E-03,NA,NA,"",  10.00000E-03,            0.,   150.000E-03,            0.,            0.
