ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,          U-U1,       S-Mises
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",            62,  -2.92791E-03,  -4.05307E-03,            0.,NA,NA,"",   5.00000E-03,            0.,            0.,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",             3,  -3.50742E-03,  -3.56342E-03,            0.,NA,NA,"",   5.00000E-03,            0.,            0.,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           226,  -2.92791E-03,  -4.05307E-03,   12.5000E-03,NA,NA,"",   5.00000E-03,            0.,   12.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           167,  -3.50742E-03,  -3.56342E-03,   12.5000E-03,NA,NA,"",   5.00000E-03,            0.,   12.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           331,  -3.50742E-03,  -3.56342E-03,   25.0000E-03,NA,NA,"",   5.00000E-03,            0.,   25.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           390,  -2.92791E-03,  -4.05307E-03,   25.0000E-03,NA,NA,"",   5.00000E-03,            0.,   25.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           554,  -2.92791E-03,  -4.05307E-03,   37.5000E-03,NA,NA,"",   5.00000E-03,            0.,   37.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           495,  -3.50742E-03,  -3.56342E-03,   37.5000E-03,NA,NA,"",   5.00000E-03,            0.,   37.5000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           718,  -2.92791E-03,  -4.05307E-03,   50.0000E-03,NA,NA,"",   5.00000E-03,            0.,   50.0000E-03,            0.,            0.
C:/ALETube/PressureUpdate/LargeStep/DeformErode/JobErode.odb,Step-1,Increment      0: Step Time =,    0.000,"TUBE-1",           659,  -3.50742E-03,  -3.56342E-03,   50.0000E-03,NA,NA,"",   5.00000E-03,            0.,   50.0000E-03,            0.,            0.
