 Increment           1
  4.9912883E-03 -0.4484341      2.6415610E-03   3.000000    
  4.9912883E-03 -0.4484341      9.8584397E-03   3.000000    
  4.9912883E-03 -0.4484341      1.5141561E-02   126.0000    
  4.9912883E-03 -0.4484341      2.2358440E-02   126.0000    
  4.9912883E-03 -0.4484341      2.7641561E-02   249.0000    
  4.9912883E-03 -0.4484341      3.4858439E-02   249.0000    
  4.9912883E-03 -0.4484341      4.0141564E-02   372.0000    
  4.9912883E-03 -0.4484341      4.7358438E-02   372.0000    
  4.9912883E-03 -0.4484341      5.2641563E-02   495.0000    
  4.9912883E-03 -0.4484341      5.9858438E-02   495.0000    
  4.9912883E-03 -0.4484341      6.5141559E-02   618.0000    
  4.9912883E-03 -0.4484341      7.2358444E-02   618.0000    
  4.9912883E-03 -0.4484341      7.7641562E-02   741.0000    
  4.9912883E-03 -0.4484341      8.4858440E-02   741.0000    
  4.9912883E-03 -0.4484341      9.0141557E-02   864.0000    
  4.9912883E-03 -0.4484341      9.7358443E-02   864.0000    
  4.9912883E-03 -0.4484341      0.1026416       987.0000    
  4.9912883E-03 -0.4484341      0.1098584       987.0000    
  4.9912883E-03 -0.4484341      0.1151416       1110.000    
  4.9912883E-03 -0.4484341      0.1223584       1110.000    
  4.9912883E-03 -0.4484341      0.1276416       1233.000    
  4.9912883E-03 -0.4484341      0.1348584       1233.000    
  4.9912883E-03 -0.4484341      0.1401416       1356.000    
  4.9912883E-03 -0.4484341      0.1473584       1356.000    
  4.9912883E-03 -0.4484341      0.1526416       1479.000    
  4.9912883E-03 -0.4484341      0.1598584       1479.000    
  4.9912883E-03 -0.4484341      0.1651416       1602.000    
  4.9912883E-03 -0.4484341      0.1723584       1602.000    
  4.9912883E-03 -0.4484341      0.1776416       1725.000    
  4.9912883E-03 -0.4484341      0.1848584       1725.000    
  4.9912883E-03 -0.4484341      0.1901416       1848.000    
  4.9912883E-03 -0.4484341      0.1973584       1848.000    
  4.9912883E-03 -0.4484341      0.2026416       1971.000    
  4.9912883E-03 -0.4484341      0.2098584       1971.000    
  4.9912883E-03 -0.4484341      0.2151416       2094.000    
  4.9912883E-03 -0.4484341      0.2223584       2094.000    
  4.9912883E-03 -0.4484341      0.2276416       2217.000    
  4.9912883E-03 -0.4484341      0.2348584       2217.000    
